Itemnum,Text,,,,,,,Edwards
1,Worry about things.,-2,-1,-2,-1,0,-1,-1.16667
2,Make friends easily.,4,3,3,3,4,3,3.33333
3,Have a vivid imagination.,3,1,3,0,2,1,1.66667
4,Trust others.,3,1,2,2,2,1,1.83333
5,Complete tasks successfully.,4,3,4,2,4,3,3.33333
6,Get angry easily.,-4,-3,-4,-4,-3,-3,-3.5
7,Love large parties.,2,0,0,3,2,0,1.16667
8,Believe in the importance of art.,3,0,2,0,1,0,1
9,Would never cheat on my taxes.,3,2,3,2,4,2,2.66667
10,Like order.,2,1,1,1,1,1,1.16667
11,Often feel blue.,-2,-2,-2,-2,-2,-2,-2
12,Take charge.,2,1,1,2,4,1,1.83333
13,Experience my emotions intensely.,1,0,3,-3,-1,0,0
14,Make people feel welcome.,3,4,4,4,2,4,3.5
15,Try to follow the rules.,2,3,3,2,3,3,2.66667
16,Am easily intimidated.,-2,-2,-2,-3,-3,-2,-2.33333
17,Am always busy.,0,1,-1,0,2,1,0.5
18,Prefer variety to routine.,0,0,0,1,0,0,0.16667
19,Am easy to satisfy.,1,3,3,2,1,3,2.16667
20,Go straight for the goal.,2,2,2,3,2,2,2.16667
21,Often eat too much.,-2,-3,-2,-2,-2,-3,-2.33333
22,Love excitement.,2,0,0,2,1,0,0.83333
23,Like to solve complex problems.,3,0,0,3,3,0,1.5
24,Dislike being the center of attention.,-1,0,0,-2,1,0,-0.33333
25,Get chores done right away.,2,3,2,1,3,3,2.33333
26,Panic easily.,-3,-2,-3,-3,-2,-2,-2.5
27,Radiate joy.,4,3,4,3,2,3,3.16667
28,Tend to vote for liberal political candidates.,0,0,0,0,1,0,0.16667
29,Sympathize with the homeless.,3,3,3,2,1,3,2.5
30,Avoid mistakes.,2,1,1,3,1,1,1.5
31,Fear for the worst.,-2,-1,-2,-2,-2,-1,-1.66667
32,Warm up quickly to others.,2,2,2,3,3,2,2.33333
33,Enjoy wild flights of fantasy.,2,0,0,-2,-1,0,-0.16667
34,Believe that others have good intentions.,2,2,1,3,1,2,1.83333
35,Excel in what I do.,4,0,3,4,4,2,2.83333
36,Get irritated easily.,-3,-2,-4,-4,-2,-2,-2.83333
37,Talk to a lot of different people at parties.,3,0,2,4,3,0,2
38,Like music.,1,0,,0,3,0,0.8
39,Stick to the rules.,1,3,2,3,2,3,2.33333
40,Like to tidy up.,3,1,2,2,1,1,1.66667
41,Dislike myself.,-3,-2,-4,-4,-3,-2,-3
42,Try to lead others.,2,2,2,3,3,2,2.33333
43,Feel others' emotions.,2,3,3,3,2,3,2.66667
44,Anticipate the needs of others.,3,1,3,3,3,1,2.33333
45,Keep my promises.,4,4,4,3,4,4,3.83333
46,Am afraid that I will do the wrong thing.,1,-1,2,-3,-2,-1,-0.66667
47,Am always on the go.,0,0,0,2,-1,0,0.16667
48,Like to visit new places.,2,0,0,2,3,0,1.16667
49,Can't stand confrontations.,-1,-1,2,-2,1,-1,-0.33333
50,Work hard.,4,3,3,3,3,3,3.16667
51,Don't know why I do some of the things I do.,-2,0,-1,-1,-2,0,-1
52,Seek adventure.,2,0,0,1,2,0,0.83333
53,Love to read challenging material.,2,0,0,1,1,0,0.66667
54,Dislike talking about myself.,1,0,2,-2,0,0,0.16667
55,Am always prepared.,3,2,2,2,4,2,2.5
56,Become overwhelmed by events.,-3,-1,-2,-3,-3,-1,-2.16667
57,Have a lot of fun.,3,2,3,2,3,2,2.5
58,Believe that there is no absolute right or wrong.,0,1,3,-3,1,1,0.5
59,Feel sympathy for those who are worse off than myself.,3,2,3,4,3,2,2.83333
60,Choose my words with care.,3,1,4,3,2,1,2.33333
61,Am afraid of many things.,-2,-2,-3,-2,-2,-2,-2.16667
62,Feel comfortable around people.,2,2,3,4,2,2,2.5
63,Love to daydream.,1,0,0,-1,0,0,0
64,Trust what people say.,1,2,1,1,2,2,1.5
65,Handle tasks smoothly.,3,1,3,2,3,1,2.16667
66,Get upset easily.,-3,-1,-4,-3,-2,-1,-2.33333
67,Enjoy being part of a group.,2,0,3,3,3,0,1.83333
68,See beauty in things that others might not notice.,3,0,3,3,1,0,1.66667
69,Use flattery to get ahead.,-1,-1,-1,-1,-1,-1,-1
70,"Want everything to be ""just right.""",0,-1,-1,-1,1,-1,-0.5
71,Am often down in the dumps.,-2,-1,-2,-3,-3,-1,-2
72,Can talk others into doing things.,3,1,-2,2,3,1,1.33333
73,Am passionate about causes.,3,2,2,3,3,2,2.5
74,Love to help others.,4,4,3,4,4,4,3.83333
75,Pay my bills on time.,1,4,2,2,2,4,2.5
76,Find it difficult to approach others.,-1,-1,-1,-3,-3,-1,-1.66667
77,Do a lot in my spare time.,3,0,1,1,2,0,1.16667
78,Interested in many things.,2,0,1,2,1,0,1
79,Hate to seem pushy.,1,2,3,2,-2,2,1.33333
80,Turn plans into actions.,3,2,3,3,-2,2,1.83333
